CTUID,Neighbourhoods,Metric_Type,Metric_Name,Travel_Time_Threshold,Category,Before_After_Benefit,Value
5350058.00,Palmerston-Little Italy,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350059.00,University,Social,Number of Destinations Accessible,30.0,Hospital,before,12.0
5350059.00,University,Social,Number of Destinations Accessible,30.0,Hospital,after,12.0
5350059.00,University,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350060.00,University,Social,Number of Destinations Accessible,30.0,Hospital,before,11.0
5350060.00,University,Social,Number of Destinations Accessible,30.0,Hospital,after,11.0
5350060.00,University,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350061.00,University,Social,Number of Destinations Accessible,30.0,Hospital,before,11.0
5350061.00,University,Social,Number of Destinations Accessible,30.0,Hospital,after,11.0
5350061.00,University,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350062.01,Bay-Cloverhill,Social,Number of Destinations Accessible,30.0,Hospital,before,10.0
5350062.01,Bay-Cloverhill,Social,Number of Destinations Accessible,30.0,Hospital,after,10.0
5350062.01,Bay-Cloverhill,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350062.03,Bay-Cloverhill,Social,Number of Destinations Accessible,30.0,Hospital,before,11.0
5350062.03,Bay-Cloverhill,Social,Number of Destinations Accessible,30.0,Hospital,after,11.0
5350062.03,Bay-Cloverhill,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350062.04,Bay-Cloverhill,Social,Number of Destinations Accessible,30.0,Hospital,before,12.0
5350062.04,Bay-Cloverhill,Social,Number of Destinations Accessible,30.0,Hospital,after,12.0
5350062.04,Bay-Cloverhill,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350063.03,Church-Wellesley,Social,Number of Destinations Accessible,30.0,Hospital,before,9.0
5350063.03,Church-Wellesley,Social,Number of Destinations Accessible,30.0,Hospital,after,9.0
5350063.03,Church-Wellesley,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350063.04,Church-Wellesley,Social,Number of Destinations Accessible,30.0,Hospital,before,11.0
5350063.04,Church-Wellesley,Social,Number of Destinations Accessible,30.0,Hospital,after,11.0
5350063.04,Church-Wellesley,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350063.05,Church-Wellesley,Social,Number of Destinations Accessible,30.0,Hospital,before,11.0
5350063.05,Church-Wellesley,Social,Number of Destinations Accessible,30.0,Hospital,after,11.0
5350063.05,Church-Wellesley,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350063.06,Church-Wellesley,Social,Number of Destinations Accessible,30.0,Hospital,before,12.0
5350063.06,Church-Wellesley,Social,Number of Destinations Accessible,30.0,Hospital,after,12.0
5350063.06,Church-Wellesley,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350064.00,North St.James Town,Social,Number of Destinations Accessible,30.0,Hospital,before,8.0
5350064.00,North St.James Town,Social,Number of Destinations Accessible,30.0,Hospital,after,8.0
5350064.00,North St.James Town,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350065.01,North St.James Town,Social,Number of Destinations Accessible,30.0,Hospital,before,8.0
5350065.01,North St.James Town,Social,Number of Destinations Accessible,30.0,Hospital,after,8.0
5350065.01,North St.James Town,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350065.02,North St.James Town,Social,Number of Destinations Accessible,30.0,Hospital,before,3.0
5350065.02,North St.James Town,Social,Number of Destinations Accessible,30.0,Hospital,after,3.0
5350065.02,North St.James Town,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350066.00,Cabbagetown-South St.James Town,Social,Number of Destinations Accessible,30.0,Hospital,before,11.0
5350066.00,Cabbagetown-South St.James Town,Social,Number of Destinations Accessible,30.0,Hospital,after,11.0
5350066.00,Cabbagetown-South St.James Town,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350067.00,Cabbagetown-South St.James Town,Social,Number of Destinations Accessible,30.0,Hospital,before,1.0
5350067.00,Cabbagetown-South St.James Town,Social,Number of Destinations Accessible,30.0,Hospital,after,1.0
5350067.00,Cabbagetown-South St.James Town,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350068.00,Cabbagetown-South St.James Town,Social,Number of Destinations Accessible,30.0,Hospital,before,6.0
5350068.00,Cabbagetown-South St.James Town,Social,Number of Destinations Accessible,30.0,Hospital,after,6.0
5350068.00,Cabbagetown-South St.James Town,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350069.00,North Riverdale,Social,Number of Destinations Accessible,30.0,Hospital,before,2.0
5350069.00,North Riverdale,Social,Number of Destinations Accessible,30.0,Hospital,after,2.0
5350069.00,North Riverdale,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350070.00,North Riverdale,Social,Number of Destinations Accessible,30.0,Hospital,before,4.0
5350070.00,North Riverdale,Social,Number of Destinations Accessible,30.0,Hospital,after,4.0
5350070.00,North Riverdale,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350071.00,North Riverdale,Social,Number of Destinations Accessible,30.0,Hospital,before,2.0
5350071.00,North Riverdale,Social,Number of Destinations Accessible,30.0,Hospital,after,2.0
5350071.00,North Riverdale,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350072.01,Blake-Jones,Social,Number of Destinations Accessible,30.0,Hospital,before,1.0
5350072.01,Blake-Jones,Social,Number of Destinations Accessible,30.0,Hospital,after,1.0
5350072.01,Blake-Jones,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350072.02,Blake-Jones,Social,Number of Destinations Accessible,30.0,Hospital,before,1.0
5350072.02,Blake-Jones,Social,Number of Destinations Accessible,30.0,Hospital,after,1.0
5350072.02,Blake-Jones,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350073.00,South Riverdale,Social,Number of Destinations Accessible,30.0,Hospital,before,1.0
5350073.00,South Riverdale,Social,Number of Destinations Accessible,30.0,Hospital,after,1.0
5350073.00,South Riverdale,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350074.00,Greenwood-Coxwell,Social,Number of Destinations Accessible,30.0,Hospital,before,2.0
5350074.00,Greenwood-Coxwell,Social,Number of Destinations Accessible,30.0,Hospital,after,2.0
5350074.00,Greenwood-Coxwell,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350075.00,Greenwood-Coxwell,Social,Number of Destinations Accessible,30.0,Hospital,before,2.0
5350075.00,Greenwood-Coxwell,Social,Number of Destinations Accessible,30.0,Hospital,after,2.0
5350075.00,Greenwood-Coxwell,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350076.00,Woodbine Corridor,Social,Number of Destinations Accessible,30.0,Hospital,before,1.0
5350076.00,Woodbine Corridor,Social,Number of Destinations Accessible,30.0,Hospital,after,1.0
5350076.00,Woodbine Corridor,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350077.00,Woodbine Corridor,Social,Number of Destinations Accessible,30.0,Hospital,before,2.0
